uid;title;source_site;source_id_string;thumbnail;is_visible;created_date;modified_date;short_desc;posted_by_id
55;TANO - DNA;soundcloud;315142632;static/sonovsite/son/tano_dna.jpg;t;2017-05-19 00:00:00+02;2017-05-13 17:35:06.875443+02;NYEEEEEEEAAAAHHHHHHH;3
61;christian löffler - tausend;youtube;6kAAUIGf-FQ;static/sonovsite/son/christian_löffler_-_tausend.PNG;t;2017-05-19 18:24:48+02;2017-05-19 18:24:57.334548+02;"Son remix de ""So Long"" passe très bien après ça...";2
72;Birdy Nam Nam - I'M GOIN'IN;vimeo;28497475;static/sonovsite/son/birdy_nam_nam_im_goin_in.jpg;t;2017-05-24 10:16:37+02;2017-05-24 10:26:31.811754+02;;3
74;Snails & Botnek - Waffle house;vimeo;216817216;static/sonovsite/son/snails_and_botneck_waffle_house.jpg;t;2017-06-16 00:00:00+02;2017-05-24 10:53:21.766306+02;La green goo est à la mode !;3
57;Purity Rings - Lofticries;youtube;PmRraoL9v7k;static/sonovsite/son/purity_ring_lofticries.jpg;t;2017-05-25 00:00:00+02;2017-05-18 18:30:15.553677+02;;3
62;The Gaslamp Killer - Residual tingles;soundcloud;277458033;static/sonovsite/son/the_gaslamp_killer_residual_tingles.jpg;t;2017-05-27 00:00:00+02;2017-05-24 09:36:16.783629+02;;3
63;Bermuda Cup Journey - Brenda;soundcloud;290050826;static/sonovsite/son/bermuda_cup_journey_brenda.jpg;t;2017-05-29 00:00:00+02;2017-05-24 09:38:05.359855+02;Un duo français qui monte !;3
66;CloZee - Koto;soundcloud;224916643;static/sonovsite/son/clozee_koto.jpg;t;2017-06-04 00:00:00+02;2017-05-24 09:49:24.468017+02;CloZee est une super artiste francaise à écouter en boucle :);3
68;Swell - I'm sorry (feat. shiloh);soundcloud;238332171;static/sonovsite/son/swell_sorry.jpg;t;2017-06-06 00:00:00+02;2017-05-24 09:57:07.84498+02;Un vine de Shiloh, un remix et c'est pas mal.;3
78;flume - holdin on (kaytranada edit);youtube;dVKZ1D0oQUA;static/sonovsite/son/flume_-_holdin_on_kaytranada_edit.PNG;t;2017-06-06 19:58:13+02;2017-06-06 19:58:58.752802+02;Quand l'Autralie rencontre le Canada...;2
69;Soichi Terada - Grand senshukaru;soundcloud;126190347;static/sonovsite/son/soichi_terada_grand_sehukaru.jpg;t;2017-06-08 00:00:00+02;2017-05-24 10:03:25.824158+02;;3
70;Yung Wenli - OH SHIT I'M FEELIN IT;soundcloud;139487967;static/sonovsite/son/yung_wensi_oh_shit_im_feelin_it.jpg;t;2017-06-10 00:00:00+02;2017-05-24 10:07:04.329011+02;Ca me démangeait trop de le poster, désolé. J'assume.;3
79;Lorn - Ghosst(s);youtube;TzzrzGyKo6g;static/sonovsite/son/lorn_ghossts.jpg;t;2017-06-10 00:00:00+02;2017-06-09 07:35:38.913198+02;SLOWER, LOWER;3
71;REZZ & Laura Brehm - Melancholy (bootleg remix);soundcloud;304736619;static/sonovsite/son/rezz_laura_brehm_melancholy.jpg;t;2017-06-12 00:00:00+02;2017-05-24 10:16:36.938144+02;Du son bien pop, I REGRET NOTHING !;3
80;inigo kennedy - pithead;youtube;Oc8otqzjt1E;static/sonovsite/son/inigo_kennedy_-_pithead_7IBcaD0.PNG;t;2017-06-11 13:03:13+02;2017-06-11 13:06:57.759965+02;L'univers froid et mécanique de Kennedy...;2
81;christian nielsen - we go on;youtube;VZ_Jd60rQjM;static/sonovsite/son/christian_nielsen_-_we_go_on.PNG;t;2017-06-11 13:07:29+02;2017-06-11 13:07:34.222102+02;Pour enchaîner sur le dancefloor !;2
73;Hugo Ramirez - The chase in the ghost train;vimeo;182359265;static/sonovsite/son/hugo_ramirez_the_chase_in_the_ghost_train.jpg;t;2017-06-14 00:00:00+02;2017-05-24 10:45:51.057028+02;;3
82;chamberlain - damp suns receipts (live);youtube;3ryqvp6w5ac;static/sonovsite/son/chamberlain_-_damp_suns_receipts_live.JPG;t;2017-06-16 17:07:57+02;2017-06-16 17:08:03.824842+02;Un piano bien cadencé par les basses !;2
83;mathew jonson - marionette;youtube;daSid6Lh9Vs;static/sonovsite/son/mathew_jonson_-_marionette.JPG;t;2017-06-16 17:08:43+02;2017-06-16 17:09:09.933089+02;Ne perdez pas le fil dans les méandres de Jonson...;2
75;Max Cooper - Waves;vimeo;178612704;static/sonovsite/son/max_cooper_waves.jpg;t;2017-06-18 00:00:00+02;2017-06-01 20:06:23.138348+02;;3
76;Max Cooper - Order from chaos;vimeo;196269431;static/sonovsite/son/max_cooper_order_from_chaos.jpg;t;2017-06-20 00:00:00+02;2017-06-01 20:14:39.478757+02;;3
84;sasha - channel deq (max cooper remix);youtube;NbtaPcR-9qM;static/sonovsite/son/sasha_-_channel_deq_max_cooper_remix.JPG;t;2017-06-20 12:15:20+02;2017-06-20 12:15:28.203688+02;SonoV est atteint de Coopermania !;2
85;yaeji - new york 93;youtube;vbJyplhmy1g;static/sonovsite/son/yaeji_-_new_york_93.JPG;t;2017-06-20 12:16:51+02;2017-06-20 12:18:39.274036+02;Laissez-vous bercer par la voix de Yaeji...;2
77;Bonobo - Kerala;vimeo;190768914;static/sonovsite/son/bonobo_kerala.jpg;t;2017-06-22 00:00:00+02;2017-06-01 20:32:44.802815+02;Gemma Arterton dans un clip étrange et envoûtant.;3
